"country","region","fertility","ppgdp","lifeExpF","pctUrban"
"Afghanistan","Asia",5.968,499,49.49,23
"Albania","Europe",1.525,3677.2,80.4,53
"Algeria","Africa",2.142,4473,75,67
"Angola","Africa",5.135,4321.9,53.17,59
"Anguilla","Caribbean",2,13750.1,81.1,100
"Argentina","Latin Amer",2.172,9162.1,79.89,93
"Armenia","Asia",1.735,3030.7,77.33,64
"Aruba","Caribbean",1.671,22851.5,77.75,47
"Australia","Oceania",1.949,57118.9,84.27,89
"Austria","Europe",1.346,45158.8,83.55,68
"Azerbaijan","Asia",2.148,5637.6,73.66,52
"Bahamas","Caribbean",1.877,22461.6,78.85,84
"Bahrain","Asia",2.43,18184.1,76.06,89
"Bangladesh","Asia",2.157,670.4,70.23,29
"Barbados","Caribbean",1.575,14497.3,80.26,45
"Belarus","Europe",1.479,5702,76.37,75
"Belgium","Europe",1.835,43814.8,82.81,97
"Belize","Latin Amer",2.679,4495.8,77.81,53
"Benin","Africa",5.078,741.1,58.66,42
"Bermuda","Caribbean",1.76,92624.7,82.3,100
"Bhutan","Asia",2.258,2047.2,69.84,35
"Bolivia","Latin Amer",3.229,1977.9,69.4,67
"Bosnia and Herzegovina","Europe",1.134,4477.7,78.4,49
"Botswana","Africa",2.617,7402.9,51.34,62
"Brazil","Latin Amer",1.8,10715.6,77.41,87
"Brunei Darussalam","Asia",1.984,32647.6,80.64,76
"Bulgaria","Europe",1.546,6365.1,77.12,72
"Burkina Faso","Africa",5.75,519.7,57.02,27
"Burundi","Africa",4.051,176.6,52.58,11
"Cambodia","Asia",2.422,797.2,65.1,20
"Cameroon","Africa",4.287,1206.6,53.56,59
"Canada","North America",1.691,46360.9,83.49,81
"Cape Verde","Africa",2.279,3244,77.7,62
"Cayman Islands","Caribbean",1.6,57047.9,83.8,100
"Central African Republic","Africa",4.423,450.8,51.3,39
"Chad","Africa",5.737,727.4,51.61,28
"Chile","Latin Amer",1.832,11887.7,82.35,89
"China","Asia",1.559,4354,75.61,48
"Colombia","Latin Amer",2.293,6222.8,77.69,75
"Comoros","Africa",4.742,736.6,63.18,28
"Congo","Africa",4.442,2665.1,59.33,63
"Cook Islands","Oceania",2.53080628409411,12212.1,76.2454672361809,76
"Costa Rica","Latin Amer",1.812,7703.8,81.99,65
"Cote dIvoire","Africa",4.224,1154.1,57.71,51
"Croatia","Europe",1.501,13819.5,80.37,58
"Cuba","Caribbean",1.451,5704.4,81.33,75
"Cyprus","Asia",1.458,28364.3,82.14,71
"Czech Republic","Europe",1.501,18838.8,81,74
"Democratic Republic of the Congo","Africa",5.485,200.6,50.56,36
"Denmark","Europe",1.885,55830.2,81.37,87
"Djibouti","Africa",3.589,1282.6,60.04,76
"Dominica","Caribbean",3,7020.8,78.2,67
"Dominican Republic","Caribbean",2.49,5195.4,76.57,70
"East Timor","Asia",5.918,706.1,64.2,29
"Ecuador","Latin Amer",2.393,4072.6,78.91,68
"Egypt","Africa",2.636,2653.7,75.52,44
"El Salvador","Latin Amer",2.171,3425.6,77.09,65
"Equatorial Guinea","Africa",4.98,16852.4,52.91,40
"Eritrea","Africa",4.243,429.1,64.41,22
"Estonia","Europe",1.702,14135.4,79.95,70
"Ethiopia","Africa",3.848,324.6,61.59,17
"Fiji","Oceania",2.602,3545.7,72.27,52
"Finland","Europe",1.875,44501.7,83.28,85
"France","Europe",1.987,39545.9,84.9,86
"French Polynesia","Oceania",2.033,24669,78.07,51
"Gabon","Africa",3.195,12468.8,64.32,86
"Gambia","Africa",4.689,579.1,60.3,59
"Georgia","Asia",1.528,2680.3,77.31,53
"Germany","Europe",1.457,39857.1,82.99,74
"Ghana","Africa",3.988,1333.2,65.8,52
"Greece","Europe",1.54,26503.8,82.58,62
"Greenland","NorthAtlantic",2.217,35292.7,71.6,84
"Grenada","Caribbean",2.171,7429,77.72,40
"Guatemala","Latin Amer",3.84,2882.3,75.1,50
"Guinea","Africa",5.032,427.5,56.39,36
"Guinea-Bissau","Africa",4.877,539.4,50.4,30
"Guyana","Latin Amer",2.19,2996,73.45,29
"Haiti","Caribbean",3.159,612.7,63.87,54
"Honduras","Latin Amer",2.996,2026.2,75.92,52
"Hong Kong","Asia",1.137,31823.7,86.35,100
"Hungary","Europe",1.43,12884,78.47,68
"Iceland","Europe",2.098,39278,83.77,94
"India","Asia",2.538,1406.4,67.62,30
"Indonesia","Asia",2.055,2949.3,71.8,45
"Iran","Asia",1.587,5227.1,75.28,71
"Iraq","Asia",4.535,888.5,72.6,66
"Ireland","Europe",2.097,46220.3,83.17,62
"Israel","Asia",2.909,29311.6,84.19,92
"Italy","Europe",1.476,33877.1,84.62,69
"Jamaica","Caribbean",2.262,4899,75.98,52
"Japan","Asia",1.418,43140.9,87.12,67
"Jordan","Asia",2.889,4445.3,75.17,79
"Kazakhstan","Asia",2.481,9166.7,72.84,59
"Kenya","Africa",4.623,801.8,59.16,23
"Kiribati","Oceania",3.5,1468.2,63.1,44
"Kuwait","Asia",2.251,45430.4,75.89,98
"Kyrgyzstan","Asia",2.621,865.4,72.36,35
"Laos","Asia",2.543,1047.6,69.42,34
"Latvia","Europe",1.506,10663,78.51,68
"Lebanon","Asia",1.764,9283.7,75.07,87
"Lesotho","Africa",3.051,980.7,48.11,28
"Liberia","Africa",5.038,218.6,58.59,48
"Libya","Africa",2.41,11320.8,77.86,78
"Lithuania","Europe",1.495,10975.5,78.28,67
"Luxembourg","Europe",1.683,105095.4,82.67,85
"Macao","Asia",1.163,49990.2,83.8,100
"Madagascar","Africa",4.493,421.9,68.61,31
"Malawi","Africa",5.968,357.4,55.17,20
"Malaysia","Asia",2.572,8372.8,76.86,73
"Maldives","Asia",1.668,4684.5,78.7,41
"Mali","Africa",6.117,598.8,53.14,37
"Malta","Europe",1.284,19599.2,82.29,95
"Marshall Islands","Oceania",4.38446625852824,3069.4,70.6,72
"Mauritania","Africa",4.361,1131.1,60.95,42
"Mauritius","Africa",1.59,7488.3,76.89,42
"Mexico","Latin Amer",2.227,9100.7,79.64,78
"Micronesia","Oceania",3.307,2678.2,70.17,23
"Moldova","Europe",1.45,1625.8,73.48,48
"Mongolia","Asia",2.446,2246.7,72.83,63
"Montenegro","Europe",1.63,6509.8,77.37,61
"Morocco","Africa",2.183,2865,74.86,59
"Mozambique","Africa",4.713,407.5,51.81,39
"Myanmar","Asia",1.939,876.2,67.87,34
"Namibia","Africa",3.055,5124.7,63.04,39
"Nauru","Oceania",3.3,6190.1,57.1,100
"Nepal","Asia",2.587,534.7,70.05,19
"Neth Antilles","Caribbean",1.9,20321.1,79.86,93
"Netherlands","Europe",1.794,46909.7,82.79,83
"New Caledonia","Oceania",2.091,35319.5,80.49,57
"New Zealand","Oceania",2.135,32372.1,82.77,86
"Nicaragua","Latin Amer",2.5,1131.9,77.45,58
"Niger","Africa",6.925,357.7,55.77,17
"Nigeria","Africa",5.431,1239.8,53.38,51
"North Korea","Asia",1.988,504,72.12,60
"Norway","Europe",1.948,84588.7,83.47,80
"Oman","Asia",2.146,20791,76.44,73
"Pakistan","Asia",3.201,1003.2,66.88,36
"Palau","Oceania",2,10821.8,72.1,84
"Palestinian Territory","Asia",4.27,1819.5,74.81,74
"Panama","Latin Amer",2.409,7614,79.07,75
"Papua New Guinea","Oceania",3.799,1428.4,65.52,13
"Paraguay","Latin Amer",2.858,2771.1,74.91,62
"Peru","Latin Amer",2.41,5410.7,76.9,77
"Philippines","Asia",3.05,2140.1,72.57,49
"Poland","Europe",1.415,12263.2,80.56,61
"Portugal","Europe",1.312,21437.6,82.76,61
"Puerto Rico","Caribbean",1.757,26461,83.2,99
"Qatar","Asia",2.204,72397.9,78.24,96
"Republic of Korea","Asia",1.389,21052.2,83.95,83
"Romania","Europe",1.428,7522.4,77.95,58
"Russian Federation","Europe",1.529,10351.4,75.01,73
"Rwanda","Africa",5.282,532.3,57.13,19
"Saint Lucia","Caribbean",1.907,6677.1,77.54,28
"Samoa","Oceania",3.763,3343.3,76.02,20
"Sao Tome and Principe","Africa",3.488,1283.3,66.48,63
"Saudi Arabia","Asia",2.639,15835.9,75.57,82
"Senegal","Africa",4.605,1032.7,60.92,43
"Serbia","Europe",1.562,5123.2,77.05,56
"Seychelles","Africa",2.34,11450.6,78,56
"Sierra Leone","Africa",4.728,351.7,48.87,39
"Singapore","Asia",1.367,43783.1,83.71,100
"Slovakia","Europe",1.372,15976,79.53,55
"Slovenia","Europe",1.477,23109.8,82.84,49
"Solomon Islands","Oceania",4.041,1193.5,70,19
"Somalia","Africa",6.283,114.8,53.38,38
"South Africa","Africa",2.383,7254.8,54.09,62
"Spain","Europe",1.504,30542.8,84.76,78
"Sri Lanka","Asia",2.235,2375.3,78.4,14
"St Vincent and Grenadines","Caribbean",1.995,6171.7,74.73,50
"Sudan","Africa",4.225,1824.9,63.82,41
"Suriname","Latin Amer",2.266,7018,74.18,70
"Swaziland","Africa",3.174,3311.2,48.54,21
"Sweden","Europe",1.925,48906.2,83.65,85
"Switzerland","Europe",1.536,68880.2,84.71,74
"Syria","Asia",2.772,2931.5,77.72,56
"Tajikistan","Asia",3.162,816,71.23,26
"Tanzania","Africa",5.499,516,60.31,27
"TFYR Macedonia","Europe",1.397,4434.5,77.14,59
"Thailand","Asia",1.528,4612.8,77.76,34
"Togo","Africa",3.864,524.6,59.4,44
"Tonga","Oceania",3.783,3543.1,75.38,24
"Trinidad and Tobago","Caribbean",1.632,15205.1,73.82,14
"Tunisia","Africa",1.909,4222.1,77.05,68
"Turkey","Asia",2.022,10095.1,76.61,70
"Turkmenistan","Asia",2.316,4587.5,69.4,50
"Tuvalu","Oceania",3.7,3187.2,65.1,51
"Uganda","Africa",5.901,509,55.44,13
"Ukraine","Europe",1.483,3035,74.58,69
"United Arab Emirates","Asia",1.707,39624.7,78.02,84
"United Kingdom","Europe",1.867,36326.8,82.42,80
"United States","North America",2.077,46545.9,81.31,83
"Uruguay","Latin Amer",2.043,11952.4,80.66,93
"Uzbekistan","Asia",2.264,1427.3,71.9,36
