"state","county","clinton_pctvotes","trump_pctvotes","obama_pctvotes","pct_pop65","pct_black","pct_white","pct_hispanic","pct_asian","highschool","bachelors","income","trump_win"
"AL","Autauga County",23.96,73.44,26.58,13.8,18.7,77.9,2.7,1.1,85.6,20.9,53.682,1
"AL","Baldwin County",19.57,77.35,21.57,18.7,9.6,87.1,4.6,0.9,89.1,27.7,50.221,1
"AL","Barbour County",46.66,52.27,51.25,16.5,47.6,50.2,4.5,0.5,73.7,13.4,32.911,1
"AL","Bibb County",21.42,76.97,26.22,14.8,22.1,76.3,2.1,0.2,77.5,12.1,36.447,1
"AL","Blount County",8.47,89.85,12.35,17,1.8,96,8.7,0.3,77,12.1,44.145,1
"AL","Bullock County",75.09,24.23,76.31,14.9,70.1,26.9,7.5,0.3,67.8,12.5,32.033,0
"AL","Butler County",42.79,56.32,46.05,18,44,53.9,1.2,0.9,76.3,14,29.918,1
"AL","Calhoun County",27.86,69.24,33.52,16,21.1,75.8,3.5,0.9,78.6,16.1,39.962,1
"AL","Chambers County",41.83,56.63,47.06,18.3,39.5,58.3,2,0.8,75.1,11.8,32.402,1
"AL","Cherokee County",14.51,83.87,21.78,20.9,4.6,93,1.5,0.3,78.3,12.8,34.907,1
"AL","Chilton County",15.94,82.54,19.45,15.2,10.6,87.1,7.7,0.4,76,12.9,41.25,1
"AL","Choctaw County",42.78,56.44,47.52,20.8,42.4,56.6,0.8,0.3,75.2,11.8,33.941,1
"AL","Clarke County",44.16,54.96,45.69,18,44.2,54,1.3,0.5,78.3,11.2,29.357,1
"AL","Clay County",18.78,79.58,26.66,19.4,14.5,82.8,3.4,0.3,76.5,9.2,34.002,1
"AL","Cleburne County",10.47,87.84,15.41,18.4,3.6,94.5,2.5,0.2,76,9,38.019,1
"AL","Coffee County",20.45,77.15,24.85,15.9,17.7,76.4,6.4,1.6,82.4,22.5,43.768,1
"AL","Colbert County",29.63,67.89,39.19,18.5,16.3,80.8,2.6,0.5,83.5,17.7,39.077,1
"AL","Conecuh County",46.91,52.16,50.63,20.4,46.2,52.1,1.8,0.1,77.3,8.8,24.658,1
"AL","Coosa County",34.08,64.64,41.73,18.5,31.8,66.1,2.3,0.2,75,9.8,37.277,1
"AL","Covington County",15.04,83.59,20.47,19.8,13,84.3,1.6,0.5,78.4,14.2,35.869,1
"AL","Crenshaw County",26.6,72.15,31.95,18,24,72,1.7,1.8,76.7,12.7,36.275,1
"AL","Cullman County",10.01,87.81,14.63,17.6,1.4,96.2,4.4,0.5,79.8,14.8,38.847,1
"AL","Dale County",23.68,74.12,28.48,15.4,19.7,75.2,6.1,1.3,84.1,17,44.889,1
"AL","Dallas County",68.48,30.88,69.73,15.6,69.5,29,1,0.5,77.5,14.2,26.519,0
"AL","DeKalb County",14.11,83.49,21.96,15.7,2.1,92.4,14.2,0.4,70.6,10.7,37.851,1
"AL","Elmore County",22.86,74.84,25.23,14,21.2,76,2.7,0.7,86.6,21,54.766,1
"AL","Escambia County",30.88,67.59,36.92,16.7,32.4,62.2,2.1,0.3,76.2,11.7,30.687,1
"AL","Etowah County",23.81,73.91,30.11,17.3,15.5,81.2,3.7,0.8,81.8,14.8,38.013,1
"AL","Fayette County",16.57,81.81,22.79,19.6,11.9,86.2,1.4,0.3,74.9,13.2,33.838,1
"AL","Franklin County",18.38,79.18,29.2,15.9,4.6,91.9,16.1,0.4,72.5,11,36.415,1
