Province/State,Country,Lat,Long,Date,Value
,Afghanistan,33,65,3/25/20,84
,Afghanistan,33,65,3/24/20,74
,Afghanistan,33,65,3/23/20,40
,Afghanistan,33,65,3/22/20,40
,Afghanistan,33,65,3/21/20,24
,Afghanistan,33,65,3/20/20,24
,Afghanistan,33,65,3/19/20,22
,Afghanistan,33,65,3/18/20,22
,Afghanistan,33,65,3/17/20,22
,Afghanistan,33,65,3/16/20,21
,Afghanistan,33,65,3/15/20,16
,Afghanistan,33,65,3/14/20,11
,Afghanistan,33,65,3/13/20,7
,Afghanistan,33,65,3/12/20,7
,Afghanistan,33,65,3/11/20,7
,Afghanistan,33,65,3/10/20,5
,Afghanistan,33,65,3/9/20,4
,Afghanistan,33,65,3/8/20,4
,Afghanistan,33,65,3/7/20,1
,Afghanistan,33,65,3/6/20,1
,Afghanistan,33,65,3/5/20,1
,Afghanistan,33,65,3/4/20,1
,Afghanistan,33,65,3/3/20,1
,Afghanistan,33,65,3/2/20,1
,Afghanistan,33,65,3/1/20,1
,Afghanistan,33,65,2/29/20,1
,Afghanistan,33,65,2/28/20,1
,Afghanistan,33,65,2/27/20,1
,Afghanistan,33,65,2/26/20,1
,Afghanistan,33,65,2/25/20,1
,Afghanistan,33,65,2/24/20,1
,Afghanistan,33,65,2/23/20,0
,Afghanistan,33,65,2/22/20,0
,Afghanistan,33,65,2/21/20,0
,Afghanistan,33,65,2/20/20,0
,Afghanistan,33,65,2/19/20,0
,Afghanistan,33,65,2/18/20,0
,Afghanistan,33,65,2/17/20,0
,Afghanistan,33,65,2/16/20,0
,Afghanistan,33,65,2/15/20,0
,Afghanistan,33,65,2/14/20,0
,Afghanistan,33,65,2/13/20,0
,Afghanistan,33,65,2/12/20,0
,Afghanistan,33,65,2/11/20,0
,Afghanistan,33,65,2/10/20,0
,Afghanistan,33,65,2/9/20,0
,Afghanistan,33,65,2/8/20,0
,Afghanistan,33,65,2/7/20,0
,Afghanistan,33,65,2/6/20,0
,Afghanistan,33,65,2/5/20,0
,Afghanistan,33,65,2/4/20,0
,Afghanistan,33,65,2/3/20,0
,Afghanistan,33,65,2/2/20,0
,Afghanistan,33,65,2/1/20,0
,Afghanistan,33,65,1/31/20,0
,Afghanistan,33,65,1/30/20,0
,Afghanistan,33,65,1/29/20,0
,Afghanistan,33,65,1/28/20,0
,Afghanistan,33,65,1/27/20,0
,Afghanistan,33,65,1/26/20,0
,Afghanistan,33,65,1/25/20,0
,Afghanistan,33,65,1/24/20,0
,Afghanistan,33,65,1/23/20,0
,Afghanistan,33,65,1/22/20,0
,Albania,41.1533,20.1683,3/25/20,146
,Albania,41.1533,20.1683,3/24/20,123
,Albania,41.1533,20.1683,3/23/20,104
,Albania,41.1533,20.1683,3/22/20,89
,Albania,41.1533,20.1683,3/21/20,76
,Albania,41.1533,20.1683,3/20/20,70
