"country","hdi_2018","median_age","pctpop65","pct_internet","pct_labour"
"Afghanistan",0.496,17.2,0.0268817204301075,13.5,66
"Albania",0.791,34.9,0.137931034482759,71.8,56.1
"Algeria",0.759,27.5,0.0639810426540284,59.6,41.3
"Angola",0.574,16.4,0.0227272727272727,14.3,77.7
"Argentina",0.83,30.5,0.11036036036036,74.3,60.5
"Armenia",0.76,33.8,0.1,64.7,58.8
"Australia",0.938,37.2,0.156626506024096,86.5,65
"Austria",0.914,43.2,0.191011235955056,87.7,60.2
"Azerbaijan",0.754,30.3,0.0606060606060606,79.8,66.3
"Bahamas",0.805,30.9,0,85,74.6
"Bahrain",0.838,31.2,0,98.6,72.8
"Bangladesh",0.614,25.7,0.0514250309789343,15,58.7
"Barbados",0.813,39,0,81.8,65.5
"Belarus",0.817,39.5,0.147368421052632,79.1,63.7
"Belgium",0.919,41.3,0.191304347826087,88.7,53.3
"Belize",0.72,23.7,0,47.1,67.2
"Benin",0.52,18.2,0.0347826086956522,20,71.2
"Bhutan",0.617,25.7,0,48.1,67
"Bolivia (Plurinational State of)",0.703,24.1,0.0701754385964912,43.8,67.9
"Bosnia and Herzegovina",0.769,40.7,0.151515151515152,70.1,46.8
"Botswana",0.728,23,0.0434782608695652,47,72.3
"Brazil",0.761,31.4,0.0892601431980907,67.5,64
"Brunei Darussalam",0.845,29.9,0,94.6,65.2
"Bulgaria",0.816,43.4,0.211267605633803,64.8,55.4
"Burkina Faso",0.434,17,0.0252525252525253,16,66.6
"Burundi",0.423,17.1,0.0267857142857143,2.7,79
"Cabo Verde",0.651,25.1,0,58.2,69.1
"Cambodia",0.581,23.9,0.0429447852760736,40,81.1
"Cameroon",0.563,18.2,0.0277777777777778,23.2,76.3
"Canada",0.922,40.4,0.172506738544474,91,65.2
"Central African Republic",0.381,17.1,0.0212765957446809,4.3,72.1
"Chad",0.401,16,0.0258064516129032,6.5,71.3
"Chile",0.847,33.8,0.117647058823529,82.3,62.4
"China",0.758,36.7,0.109204258896049,54.3,68.7
"Colombia",0.761,29.5,0.0845070422535211,62.3,70
"Comoros",0.538,19.7,0,8.5,44.1
"Congo",0.609,18.9,0.0192307692307692,8.7,69.2
"Congo (Democratic Republic of the)",0.459,16.8,0.0297265160523187,8.6,63.6
"Costa Rica",0.794,31.2,0.1,74.1,60.1
"Croatia",0.837,43.1,0.19047619047619,72.7,51.7
"Cuba",0.778,40.8,0.150442477876106,57.1,53.6
"Cyprus",0.873,34.9,0.166666666666667,84.4,62.2
"Czechia",0.891,41.4,0.196261682242991,80.7,60.2
"Cote d'Ivoire",0.516,18.3,0.0278884462151394,46.8,57.3
"Denmark",0.93,41.6,0.189655172413793,97.6,62
"Djibouti",0.495,25,0,55.7,63
"Dominican Republic",0.745,26.5,0.0754716981132076,74.8,64
"Ecuador",0.758,26.5,0.0701754385964912,57.3,69.1
"Egypt",0.7,24.3,0.0518292682926829,46.9,48.1
"El Salvador",0.667,25.7,0.078125,33.8,61
"Equatorial Guinea",0.588,22.1,0,26.2,62.1
"Eritrea",0.434,19.2,0.0571428571428571,1.3,80.6
"Estonia",0.882,41.6,0.230769230769231,89.4,63.4
"Eswatini (Kingdom of)",0.608,19.7,0,47,53
"Ethiopia",0.47,18.3,0.0347985347985348,18.6,80.3
"Fiji",0.724,27,0,50,57.3
"Finland",0.925,42.5,0.218181818181818,88.9,58.5
"France",0.891,41.2,0.2,82,55.1
"Gabon",0.702,22.3,0.0476190476190476,62,52.1
"Gambia",0.466,17.5,0.0434782608695652,19.8,59.5
"Georgia",0.786,37.7,0.15,64,67.6
"Germany",0.939,45.9,0.214199759326113,89.7,60.6
"Ghana",0.596,20.7,0.0302013422818792,39,67.5
"Greece",0.872,43.4,0.219047619047619,73,52.8
"Guatemala",0.651,21.3,0.0465116279069768,65,62.3
"Guinea",0.466,17.1,0.032258064516129,18,64.6
