math,read,science,gender,schtyp
41,57,47,male,public
53,68,63,female,public
54,44,58,male,public
47,63,53,male,public
57,47,53,male,public
51,44,63,male,public
42,50,53,male,public
45,34,39,male,public
54,63,58,male,public
52,57,50,male,public
51,60,53,male,public
51,57,63,male,public
71,73,61,male,public
57,54,55,male,public
50,45,31,male,public
43,42,50,male,public
51,47,50,male,public
60,57,58,male,private
62,68,55,male,public
57,55,53,male,public
35,63,66,male,public
75,63,72,male,public
45,50,55,male,public
57,60,61,male,public
45,37,39,male,public
46,34,39,male,public
66,65,61,male,public
57,47,58,male,private
49,44,39,male,private
49,52,55,male,public
57,42,47,male,public
64,76,64,male,public
63,65,66,male,private
57,42,72,male,public
50,52,61,male,private
58,60,61,male,public
75,68,66,male,private
68,65,66,male,public
44,47,36,male,public
40,39,39,male,public
41,47,42,male,private
62,55,58,male,private
57,52,55,male,public
43,42,50,male,public
48,65,63,male,public
63,55,69,male,public
39,50,49,male,public
70,65,63,male,public
63,47,53,male,private
59,57,47,male,public
61,53,57,male,public
38,39,47,male,public
61,44,50,male,public
49,63,55,male,private
73,73,69,male,public
44,39,26,male,public
42,37,33,male,public
39,42,56,male,public
55,63,58,male,private
52,48,44,male,public
45,50,58,male,private
61,47,69,male,public
39,44,34,male,public
41,34,36,male,public
50,50,36,male,private
40,44,50,male,public
60,60,55,male,public
47,47,42,male,public
59,63,65,male,public
49,50,44,male,public
46,44,39,male,public
58,60,58,male,public
71,73,63,male,public
58,68,74,male,public
46,55,58,male,public
43,47,45,male,public
54,55,49,male,public
56,68,63,male,public
46,31,39,male,public
54,47,42,male,public
57,63,55,male,public
54,36,61,male,public
71,68,66,male,private
48,63,63,male,public
40,55,44,male,public
64,55,63,male,public
51,52,53,male,public
39,34,42,male,public
40,50,34,male,public
61,55,61,male,public
66,52,47,male,public
49,63,66,male,public
65,68,69,female,public
52,39,44,female,public
46,44,47,female,public
61,50,63,female,public
72,71,66,female,public
71,63,69,female,public
40,34,39,female,public
69,63,61,female,private
64,68,69,female,public
56,47,66,female,public
49,47,33,female,public
54,63,50,female,public
53,52,61,female,public
66,55,42,female,public
67,60,50,female,public
40,35,51,female,public
46,47,50,female,private
69,71,58,female,private
40,57,61,female,public
41,44,39,female,public
57,65,46,female,public
58,68,59,female,public
57,73,55,female,private
37,36,42,female,public
55,43,55,female,public
62,73,58,female,public
64,52,58,female,public
40,41,39,female,public
50,60,50,female,private
46,50,50,female,public
53,50,39,female,public
52,47,48,female,public
45,47,34,female,public
56,55,58,female,public
45,50,44,female,public
54,39,50,female,public
56,50,47,female,public
41,34,29,female,public
54,57,50,female,public
72,57,54,female,public
56,68,50,female,public
47,42,47,female,public
49,61,44,female,public
60,76,67,female,public
54,47,58,female,private
55,46,44,female,public
33,39,42,female,public
49,52,44,female,private
43,28,44,female,public
50,42,50,female,public
52,47,39,female,public
48,47,44,female,public
58,52,53,female,public
43,47,48,female,private
41,50,55,female,public
43,44,44,female,private
46,47,40,female,public
44,45,34,female,public
43,47,42,female,public
61,65,58,female,public
40,43,50,female,public
49,47,53,female,public
56,57,58,female,public
61,68,55,female,public
50,52,54,female,public
51,42,47,female,public
42,42,42,female,public
67,66,61,female,public
53,47,53,female,public
50,57,51,female,public
51,47,63,female,private
72,57,61,female,public
48,52,55,female,public
40,44,40,female,public
53,50,61,female,public
39,39,47,female,public
63,57,55,female,private
51,57,53,female,public
45,42,50,female,public
39,47,47,female,public
42,42,31,female,public
62,60,61,female,public
44,44,35,female,public
65,63,54,female,public
63,65,55,female,public
54,39,53,female,public
45,50,58,female,public
60,52,56,female,public
49,60,50,female,public
48,44,39,female,private
57,52,63,female,public
55,55,50,female,public
66,50,66,female,public
64,65,58,female,public
55,52,53,female,public
42,47,42,female,public
56,63,55,female,private
53,50,53,female,public
41,42,42,female,public
42,36,50,female,private
53,50,55,female,private
42,41,34,female,public
60,47,50,female,private
52,55,42,female,private
38,42,36,female,public
57,57,55,female,private
58,55,58,female,public
65,63,53,female,public
